application_id,resume_skills,jd_skills
a0000,"['statistics', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0001,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0002,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0003,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0004,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'machine learning', 'python', 'javascript']"
a0005,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0006,"['statistics', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'javascript']"
a0007,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['python', 'javascript']"
a0008,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'machine learning', 'python', 'javascript']"
a0009,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0010,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0011,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'python', 'sql', 'javascript']"
a0012,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0013,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['python', 'javascript']"
a0014,"['statistics', 'machine learning', 'python', 'sql']","['statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0015,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'sql', 'javascript']"
a0016,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'python']"
a0017,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['cloud', 'machine learning', 'python', 'javascript']"
a0018,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'sql']"
a0019,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'python', 'sql', 'javascript']"
a0020,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0021,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'python', 'sql']"
a0022,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'python', 'javascript']"
a0023,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0024,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0025,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0026,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'sql']"
a0027,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0028,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0029,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0030,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0031,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0032,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0033,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['cloud', 'machine learning', 'python', 'javascript']"
a0034,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0035,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0036,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0037,"['ai', 'statistics', 'data structures', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0038,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'python', 'javascript']"
a0039,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'javascript']"
a0040,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0041,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'machine learning', 'python', 'javascript']"
a0042,"['statistics', 'data structures', 'machine learning', 'python', 'javascript']","['data structures', 'machine learning', 'sql', 'javascript']"
a0043,"['data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0044,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0045,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0046,"['statistics', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'python', 'sql', 'javascript']"
a0047,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'machine learning', 'python', 'javascript']"
a0048,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0049,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0050,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0051,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0052,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'machine learning', 'python', 'javascript']"
a0053,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0054,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0055,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
