trial,status,score,time_sec,params
0,Completed,0.8520851200686106,0.15759959999923012,"{""booster"": ""gbtree"", ""lambda"": 1.8673525763729037e-07, ""alpha"": 2.2105064657090167e-05, ""subsample"": 0.996006274752228, ""colsample_bytree"": 0.5970737046588565, ""learning_rate"": 0.18343754661073386, ""n_estimators"": 248, ""max_depth"": 4, ""min_child_weight"": 7}"
1,Completed,0.8422017251616308,0.20087799999964773,"{""booster"": ""dart"", ""lambda"": 6.769141928311196e-05, ""alpha"": 0.03343353764753076, ""subsample"": 0.8593056293253083, ""colsample_bytree"": 0.5370014128409374, ""learning_rate"": 0.20285403029896848, ""n_estimators"": 270, ""max_depth"": 3, ""min_child_weight"": 5}"
2,Completed,0.813693401724062,0.2051761999991868,"{""booster"": ""gbtree"", ""lambda"": 0.00029607825732046227, ""alpha"": 1.156666018034928e-05, ""subsample"": 0.7469954155998418, ""colsample_bytree"": 0.9672872592171841, ""learning_rate"": 0.14417109817167, ""n_estimators"": 122, ""max_depth"": 9, ""min_child_weight"": 2}"
3,Completed,0.8558011171218718,0.23018640000009327,"{""booster"": ""dart"", ""lambda"": 4.7466317986259917e-07, ""alpha"": 0.002458768347634345, ""subsample"": 0.5018208586863979, ""colsample_bytree"": 0.9581244358047011, ""learning_rate"": 0.06643907262316669, ""n_estimators"": 189, ""max_depth"": 4, ""min_child_weight"": 4}"
4,Completed,0.8451828242512205,0.2072174000004452,"{""booster"": ""dart"", ""lambda"": 0.011894252892307488, ""alpha"": 7.311348070057314e-07, ""subsample"": 0.6538502510135954, ""colsample_bytree"": 0.6450831196562548, ""learning_rate"": 0.0010764047622444273, ""n_estimators"": 140, ""max_depth"": 6, ""min_child_weight"": 2}"
5,Pruned,,0.012221200000567478,"{""booster"": ""dart"", ""lambda"": 0.23210597243845307, ""alpha"": 1.505180440860387e-06, ""subsample"": 0.7592555085030372, ""colsample_bytree"": 0.7607684804755028, ""learning_rate"": 0.18458805645963128, ""n_estimators"": 233, ""max_depth"": 6, ""min_child_weight"": 3}"
6,Completed,0.8309043354444297,0.26152820000061183,"{""booster"": ""dart"", ""lambda"": 0.00011532548349147405, ""alpha"": 0.03449280867657562, ""subsample"": 0.5833930913236802, ""colsample_bytree"": 0.6998982200714674, ""learning_rate"": 0.12241599840716205, ""n_estimators"": 192, ""max_depth"": 7, ""min_child_weight"": 2}"
7,Pruned,,0.009926799999448122,"{""booster"": ""gbtree"", ""lambda"": 0.0003770391291332976, ""alpha"": 0.019329867304319084, ""subsample"": 0.596604948403598, ""colsample_bytree"": 0.5190703575086526, ""learning_rate"": 0.0020939683616418843, ""n_estimators"": 110, ""max_depth"": 4, ""min_child_weight"": 2}"
8,Completed,0.8431750835642344,0.19682690000081493,"{""booster"": ""dart"", ""lambda"": 8.56396830358524e-06, ""alpha"": 2.2117437107182415e-06, ""subsample"": 0.5775162681980899, ""colsample_bytree"": 0.7335626150740042, ""learning_rate"": 0.016760145984019675, ""n_estimators"": 69, ""max_depth"": 3, ""min_child_weight"": 4}"
9,Pruned,,0.023578899999847636,"{""booster"": ""dart"", ""lambda"": 1.4911150904870187e-05, ""alpha"": 1.6585518043480567e-07, ""subsample"": 0.6673723916143532, ""colsample_bytree"": 0.6588289762029302, ""learning_rate"": 0.0054311437586008655, ""n_estimators"": 202, ""max_depth"": 3, ""min_child_weight"": 1}"
10,Pruned,,0.01513630000044941,"{""booster"": ""gbtree"", ""lambda"": 1.225834505931549e-08, ""alpha"": 0.00015846877069221446, ""subsample"": 0.5007406672552617, ""colsample_bytree"": 0.9987019720412665, ""learning_rate"": 0.033304499913884775, ""n_estimators"": 300, ""max_depth"": 9, ""min_child_weight"": 7}"
